ID,timestamp,UTC time,accuracy,x,y,z
20586,1.57E+12,2019-08-06T16:45:30.787,unknown,-0.006484985,-0.934860229,-0.069046021
20587,1.57E+12,2019-08-06T16:45:30.887,unknown,-0.066467285,-1.015441895,0.089553833
20588,1.57E+12,2019-08-06T16:45:30.987,unknown,-0.043487549,-1.021255493,0.178466797
20589,1.57E+12,2019-08-06T16:45:31.087,unknown,-0.05380249,-0.987701416,0.068984985
20590,1.57E+12,2019-08-06T16:45:31.188,unknown,-0.054031372,-1.003616333,0.126449585
20591,1.57E+12,2019-08-06T16:45:31.288,unknown,-0.010879517,-0.967575073,0.170898438
20592,1.57E+12,2019-08-06T16:45:31.388,unknown,0.052841187,-0.982330322,0.235565186
20593,1.57E+12,2019-08-06T16:45:31.488,unknown,0.032974243,-1.053207397,0.256713867
20594,1.57E+12,2019-08-06T16:45:31.589,unknown,-0.090423584,-0.972793579,0.356307983
20595,1.57E+12,2019-08-06T16:45:31.689,unknown,0.124267578,-0.890533447,0.223220825
20596,1.57E+12,2019-08-06T16:45:31.789,unknown,-0.031784058,-0.893981934,0.26423645
20597,1.57E+12,2019-08-06T16:45:31.889,unknown,-0.097427368,-0.90272522,0.137680054
20598,1.57E+12,2019-08-06T16:45:31.989,unknown,-0.094863892,-1.197875977,0.128494263
20599,1.57E+12,2019-08-06T16:45:32.090,unknown,0.013717651,-0.852371216,-0.000869751
20600,1.57E+12,2019-08-06T16:45:32.190,unknown,0.067947388,-0.988525391,0.034973145
20601,1.57E+12,2019-08-06T16:45:32.290,unknown,-0.049255371,-1.031082153,0.00894165
20602,1.57E+12,2019-08-06T16:45:32.390,unknown,0.109710693,-0.992324829,-0.090560913
20603,1.57E+12,2019-08-06T16:45:32.491,unknown,0.084793091,-1.001281738,-0.077514648
20604,1.57E+12,2019-08-06T16:45:32.591,unknown,0.110290527,-1.010025024,-0.080535889
20605,1.57E+12,2019-08-06T16:45:32.691,unknown,0.075973511,-0.990737915,-0.072174072
